card,card_type,comment,del,elapsed,elapsed_plus,event_incident_typefk,goal_type,id,match_id,n,player1,pos_x,pos_y,rcards,sortorder,stats,subtype,team,type,value,ycards
,y,y,,57,,73,,516160,1808,315,23023,,,,2,,serious_fouls,8667,card,,
,y,y,,75,,73,,516455,1808,344,42183,,,,2,,serious_fouls,8549,card,,
,r,r,,84,,63,,516608,1808,342,24166,,,,1,,serious_fouls,8549,card,,
,y,y,,25,,203,,526851,1809,340,40132,,,,1,,emergency_brake,8667,card,,
,y,y,,45,3,73,,527227,1809,345,30595,,,,0,,serious_fouls,8667,card,,
,y,y,,47,,73,,527350,1809,357,34437,,,,1,,serious_fouls,8667,card,,
,y,y,,83,,73,,527945,1809,402,46621,,,,1,,serious_fouls,8650,card,,
,y,y,,88,,73,,528032,1809,419,24134,,,,3,,serious_fouls,8650,card,,
,y,y,,90,3,203,,528090,1809,423,30889,,,,1,,emergency_brake,8650,card,,
,y,y,,47,,79,,527331,1810,303,36373,,,,1,,verbal_abuse,8659,card,,
,y,y,,55,,73,,527473,1810,319,24728,,,,8,,serious_fouls,8659,card,,
,y,y,,73,,79,,527754,1810,336,24740,,,,0,,verbal_abuse,8472,card,,
,y,y,,56,,73,,528454,1811,322,24656,,,,3,,serious_fouls,8586,card,,
,y,y,,62,,73,,528479,1811,330,38994,,,,2,,serious_fouls,10260,card,,
,y,y,,28,,73,,526883,1812,231,24336,,,,1,,serious_fouls,8559,card,,
,y,y,,47,,73,,526149,1813,266,27277,,,,1,,serious_fouls,9825,card,,
,y,y,,90,,73,,528040,1814,287,39618,,,,1,,serious_fouls,8668,card,,
,y,y,,38,,73,,529602,1815,238,24216,,,,5,,serious_fouls,8462,card,,
,y,y,,70,,77,,529848,1815,275,33852,,,,4,,shirt_pull,10261,card,,
,y,y,,78,,70,,529887,1815,279,36286,,,,5,,,8462,card,,
,y,y,,85,,73,,529937,1815,290,24653,,,,1,,serious_fouls,8462,card,,
,y,y,,88,,78,,529956,1815,294,30348,,,,1,,kicked_ball_away,8462,card,,
,y,y,,11,,73,,526637,1816,272,38755,,,,1,,serious_fouls,10194,card,,
,y,y,,44,,129,,527171,1816,300,24737,,,,6,,hands,9879,card,,
,y,y,,64,,176,,527618,1817,298,24528,,,,2,,violence,8528,card,,
,y,y,,81,,73,,527908,1817,315,23921,,,,2,,serious_fouls,8655,card,,
,y,y,,21,,73,,530335,1818,239,32345,,,,1,,serious_fouls,8455,card,,
,y,y,,33,,79,,530417,1818,248,30699,,,,2,,verbal_abuse,8455,card,,
,y,y,,37,,73,,530439,1818,252,38834,,,,2,,serious_fouls,8455,card,,
,y,y,,40,,70,,530451,1818,255,34543,,,,0,,,8654,card,,
,y,y,,45,1,73,,530491,1818,261,33781,,,,1,,serious_fouls,8654,card,,
,y,y,,49,,73,,551678,1819,278,24230,,,,0,,serious_fouls,8528,card,,
,y,y,,52,,73,,551706,1819,281,25005,,,,1,,serious_fouls,8528,card,,
,y,y,,52,,70,,551723,1819,285,127857,,,,2,,,8528,card,,
,y,y,,20,,73,,537026,1820,212,24635,,,,1,,serious_fouls,8650,card,,
,y,y,,38,,73,,537149,1820,222,30960,,,,1,,serious_fouls,9825,card,,
,y2,y2,,62,,177,,537368,1820,247,30960,,,,1,,serious_fouls,9825,card,,
,y,y,,66,,73,,537394,1820,250,30843,,,,1,,serious_fouls,9825,card,,
,y,y,,70,,73,,537427,1820,252,26111,,,,0,,serious_fouls,9825,card,,
,y,y,,72,,77,,537453,1820,258,30617,,,,2,,shirt_pull,8650,card,,
,y,y,,81,,73,,537518,1820,262,95327,,,,1,,serious_fouls,8650,card,,
,y,y,,67,,73,,534842,1821,319,30687,,,,2,,serious_fouls,8654,card,,
,y,y,,72,,73,,534865,1821,325,38807,,,,3,,serious_fouls,10252,card,,
,y,y,,80,,79,,534967,1821,342,33781,,,,0,,verbal_abuse,8654,card,,
,r,r,,35,,63,,538311,1822,260,30627,,,,3,,serious_fouls,8455,card,,
,y,y,,42,,79,,538318,1822,257,30631,,,,1,,verbal_abuse,8455,card,,
,y,y,,42,,79,,538328,1822,262,38834,,,,2,,verbal_abuse,8455,card,,
,y,y,,67,,79,,538387,1822,289,30699,,,,1,,verbal_abuse,8455,card,,
,y,y,,10,,73,,536533,1823,241,37475,,,,2,,serious_fouls,10261,card,,
,y,y,,62,,163,,537013,1823,292,24656,,,,4,,diving,8586,card,,
,y,y,,87,,73,,537179,1823,321,31097,,,,1,,serious_fouls,8586,card,,
,y,y,,89,,73,,537191,1823,319,33852,,,,1,,serious_fouls,10261,card,,
,y,y,,90,1,70,,537238,1823,328,34574,,,,0,,,10261,card,,
,y,y,,33,,73,,533872,1824,276,35636,,,,2,,serious_fouls,10194,card,,
,y,y,,45,4,73,,534008,1824,288,23072,,,,1,,serious_fouls,10194,card,,
,y,y,,37,,73,,534011,1825,227,35544,,,,1,,serious_fouls,8549,card,,
,y,y,,52,,129,,534137,1825,245,24162,,,,1,,hands,8549,card,,
,y,y,,43,,73,,534013,1826,274,30348,,,,1,,serious_fouls,8462,card,,
,y,y,,67,,79,,534211,1826,297,26454,,,,0,,verbal_abuse,8559,card,,
,y,y,,51,,73,,536353,1827,304,24728,,,,2,,serious_fouls,8659,card,,
,y,y,,89,,77,,536611,1827,338,24211,,,,1,,shirt_pull,8456,card,,
,y,y,,90,3,70,,536719,1827,345,32570,,,,1,,,8659,card,,
,y,y,,16,,77,,533739,1828,201,30595,,,,2,,shirt_pull,8667,card,,
,y,y,,71,,70,,534235,1828,259,30352,,,,2,,,8472,card,,
,y,y,,76,,73,,534274,1828,266,34430,,,,1,,serious_fouls,8667,card,,
,y,y,,86,,70,,534356,1828,267,23352,,,,0,,,8667,card,,
,y2,y2,,81,,177,,534448,1828,287,34430,,,,2,,serious_fouls,8667,card,,
,y,y,,44,,73,,539843,1829,306,23933,,,,3,,serious_fouls,8559,card,,
,y,y,,46,,73,,539905,1829,310,26454,,,,4,,serious_fouls,8559,card,,
,y,y,,56,,73,,540003,1829,322,25984,,,,0,,serious_fouls,8650,card,,
,y,y,,80,,73,,540256,1829,347,23784,,,,3,,serious_fouls,8559,card,,
,y,y,,23,,73,,539628,1830,243,37764,,,,1,,serious_fouls,8655,card,,
,y,y,,31,,73,,539720,1830,252,34947,,,,1,,serious_fouls,8655,card,,
,y,y,,47,,129,,539952,1830,270,19020,,,,2,,hands,8655,card,,
,y,y,,79,,73,,539255,1831,274,24781,,,,1,,serious_fouls,9879,card,,
,y,y,,24,,73,,540537,1832,278,23678,,,,2,,serious_fouls,9825,card,,
,y,y,,36,,73,,540569,1832,297,30831,,,,2,,serious_fouls,9825,card,,
,y,y,,51,,70,,540605,1832,304,27277,,,,0,,,9825,card,,
,y,y,,72,,70,,540663,1832,317,23264,,,,2,,,10252,card,,
,y,y,,77,,73,,540674,1832,324,30843,,,,1,,serious_fouls,9825,card,,
,y,y,,77,,70,,540675,1832,334,24780,,,,2,,,10252,card,,
,y,y,,82,,79,,540692,1832,344,38609,,,,0,,verbal_abuse,10252,card,,
